,hotel_name,rating,room_description,price,location_descirption,long_description,price_week_before
202,Attico al centro di Roma,9.1,"Apartment with Terrace
1 large double bed
Free cancellation
No prepayment needed – pay at the property
Only 1 left at this price on our site","€ 1,169",RomeShow on map2.6 km from centre,"Located in Rome, 1.7 km from Spagna Metro Station and 1.9 km from Repubblica - Teatro dell'Opera Metro Station, Attico al centro di Roma provides air-conditioned accommodation with a terrace and free WiFi. With city views, this accommodation offers a balcony. The property is non-smoking and is set 1.9 km from Piazza Barberini.

This apartment comes with 1 bedroom, a kitchen with an oven and a microwave, a flat-screen TV, a seating area and 1 bathroom equipped with a bidet. Towels and bed linen are featured in the apartment. The property has an outdoor dining area.

Popular points of interest near the apartment include Villa Borghese, Spanish Steps and Barberini Metro Station. The nearest airport is Rome Ciampino Airport, 16 km from Attico al centro di Roma.","€ 1,169"
203,Stylish Apartment Rome,9.5,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 65m²
3 beds (1 single, 1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site","€ 1,072","Appio Latino, RomeShow on map6.6 km from centreMetro access","You're eligible for a Genius discount at Stylish Apartment Rome! To save at this property, all you have to do is sign in.
Located in Rome, 3.7 km from Ponte Lungo Metro Station and 4.4 km from Anagnina Metro Station, Stylish Apartment Rome provides air-conditioned accommodation with a balcony and free WiFi. This recently renovated apartment is located 4.6 km from San Giovanni Metro Station and 5 km from Porta Maggiore. The property is non-smoking and is situated 5.8 km from Vittorio Emanuele Metro Station.

The spacious apartment features 2 bedrooms, a living room with a flat-screen TV, an equipped kitchenette, and 1 bathroom with a shower and a hair dryer. At the apartment, there is a dressing room for guests to change in.

A minimarket is available at the apartment.

Sapienza University of Rome is 6.7 km from Stylish Apartment Rome, while Coliseum is 6.9 km away. The nearest airport is Rome Ciampino, 10 km from the accommodation, and the property offers a paid airport shuttle service.","€ 1,055"
204,VATICANO 16 APARTMENT,9.1,"Apartment
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 60m²
2 large double beds
Free cancellation
No prepayment needed – pay at the property
Only 1 left at this price on our site","€ 1,714","Vaticano Prati, RomeShow on map2.4 km from centre","You're eligible for a Genius discount at VATICANO 16 APARTMENT! To save at this property, all you have to do is sign in.
Located in Rome, 400 metres from St. Peter's Basilica and 400 metres from The Vatican, VATICANO 16 APARTMENT offers a shared lounge and air conditioning. It is situated 1.6 km from Piazza Navona and provides a shared kitchen.

This apartment includes 2 bedrooms, a living room and a flat-screen TV, an equipped kitchen with a dining area, and 2 bathrooms with a shower and a washing machine.

St Peter's Square is 500 metres from the apartment, while Castel Sant'Angelo is 1.2 km away. The nearest airport is Rome Ciampino Airport, 15.9 km from VATICANO 16 APARTMENT.","€ 1,719"
205,White flat Ground Floor,9.5,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 45m²
2 beds (1 single, 1 large double)
Only 1 left at this price on our site","€ 1,094","Central Station, RomeShow on map2.3 km from centre","You're eligible for a Genius discount at White flat Ground Floor! To save at this property, all you have to do is sign in.
White flat Ground Floor is located in the Central Station district of Rome, less than 1 km from Rome Termini Train Station, a 14-minute walk from Rome Termini Metro Station and less than 1 km from Vittorio Emanuele Metro Station. The property is close to Repubblica - Teatro dell'Opera Metro Station, San Giovanni Metro Station and Domus Aurea. Free WiFi is available throughout the property and Sapienza University of Rome is 600 metres away.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a microwave and a coffee machine, and 1 bathroom with an a bath or shower and a hair dryer. Towels and bed linen are provided in the apartment. This apartment is allergy-free and non-smoking.

Popular points of interest near the apartment include Santa Maria Maggiore, Porta Maggiore and Cavour Metro Station. The nearest airport is Rome Ciampino Airport, 14 km from White flat Ground Floor.","€ 1,094"
211,Vatican Sweet House near Metro Cipro,8.8,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 70m²
4 beds (2 sofa beds, 2 large doubles)
Free cancellation
Only 1 left at this price on our site","€ 1,151","Trionfale, RomeShow on map3.2 km from centreMetro access","Surrounded by views of the city, Vatican Sweet House near Metro Cipro is a sustainable apartment in Rome, offering guests an environmentally friendly accommodation close to Vatican Museums. Among the facilities at this property are luggage storage space and private check-in and check-out, along with free WiFi throughout the property. Castel Sant'Angelo is 2.2 km away and The Vatican is 1.7 km from the apartment.

The spacious apartment has 2 bedrooms, a flat-screen TV with cable channels, a fully equipped kitchen with a microwave and a stovetop, and 1 bathroom with a bidet. Towels and bed linen are offered in the apartment. This apartment is non-smoking and soundproof.

Popular points of interest near the apartment include Ottaviano Metro Station, Lepanto Metro Station and St Peter's Square. The nearest airport is Fiumicino Airport, 26 km from Vatican Sweet House near Metro Cipro.","€ 1,151"
214,Folia,9.7,"Double Room with Private External Bathroom
1 large double bed
Breakfast included
Only 1 room left at this price on our site",€ 830,"Vaticano Prati, RomeShow on map2.4 km from centreMetro access","Ideally located in Rome, Folia offers an Italian breakfast and free WiFi. This sustainable guest house is located 300 metres from Ottaviano Metro Station and 1 km from Lepanto Metro Station. The accommodation features a lift and a shared kitchen for guests.

All units come with air conditioning, a microwave, a toaster, a coffee machine, a bidet, a hair dryer and a desk. At the guest house, all units are allergy-free. At the guest house, units are equipped with a wardrobe, a flat-screen TV and a private bathroom.

Guests at the guest house can make the most of yoga classes offered in-house.

Popular points of interest near Folia include Vatican Museums, Castel Sant'Angelo and St Peter's Square. The nearest airport is Rome Ciampino, 18 km from the accommodation, and the property offers a paid airport shuttle service.",€ 863
215,BCH L3D,9.4,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 75m²
3 beds (1 sofa bed, 2 large doubles)
Free cancellation
Only 1 left at this price on our site","€ 1,692","Central Station, RomeShow on map2 km from centreMetro access","Situated in the centre of Rome, 400 metres from Rome Termini Train Station and 700 metres from Rome Termini Metro Station, BCH L3D offers free WiFi and air conditioning. It is set 800 metres from Sapienza University of Rome and offers an ATM. The accommodation features a lift and full-day security for guests.

The spacious apartment with a balcony and city views has 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 2 bathrooms with a bidet. Towels and bed linen are available in the apartment. The accommodation is non-smoking.

A minimarket is available at the apartment.

Popular points of interest near the apartment include Vittorio Emanuele Metro Station, Repubblica - Teatro dell'Opera Metro Station and Santa Maria Maggiore. The nearest airport is Rome Ciampino Airport, 14 km from BCH L3D.","€ 1,692"
219,La Flavia Design City Suites Rome,8.5,"Apartment 2
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 50m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 5 left at this price on our site","€ 2,086","Via Veneto, RomeShow on map1.9 km from centre","La Flavia Design City Suites Rome provides accommodation within 1.8 km of the centre of Rome, with free WiFi, and a kitchen with a dishwasher, an oven and a microwave. The property is close to Rome Termini Metro Station, Rome Termini Train Station and Spagna Metro Station. It is possible for guests to sit outside and enjoy the property grounds.

All units in the holiday home are fitted with a coffee machine. Complete with a private bathroom equipped with a shower and a hair dryer, the units at the holiday home have a TV and air conditioning, and selected rooms are fitted with a terrace. At the holiday home, all units are equipped with a seating area.

Popular points of interest near the holiday home include Piazza Barberini, Repubblica - Teatro dell'Opera Metro Station and Barberini Metro Station. The nearest airport is Rome Ciampino Airport, 15 km from La Flavia Design City Suites Rome.","€ 2,066"
222,Mama Roma Domus,9.1,"Triple Room with Private Bathroom
2 beds (1 single, 1 large double)
Breakfast included
Free cancellation
Only 3 rooms left at this price on our site","€ 1,066","Esquilino, RomeShow on map1.8 km from centreMetro access","Offering accommodation with free WiFi, air conditioning and flat-screen TV, Mama Roma Domus is set 600 meters from Domus Aurea and 700 meters from Santa Maria Maggiore.

An Italian breakfast is available every morning at the bed and breakfast.

Porta Maggiore is 1.9 km from Mama Roma Domus, while Coliseum is 600 meters from the property. The nearest airport is Rome Ciampino Airport, 14 km from the accommodation.","€ 1,066"
225,iFlat Esquilino Industrial Studio n.1,8.7,"One-Bedroom Apartment
1 double bed
Free cancellation
Only 1 left at this price on our site","€ 1,257","Central Station, RomeShow on map1.4 km from centreMetro access","Located in the centre of Rome, 500 metres from Santa Maria Maggiore, iFlat Esquilino Industrial Studio n.1 provides air-conditioned accommodation with free WiFi and a flat-screen TV. It is situated 500 metres from Repubblica - Teatro dell'Opera Metro Station and offers a lift. The property is non-smoking and is set less than 1 km from Cavour Metro Station.

The apartment is composed of 1 bedroom, a fully equipped kitchen, and 1 bathroom. Towels and bed linen are provided in the apartment.

Popular points of interest near the apartment include Rome Termini Metro Station, Rome Termini Train Station and Vittorio Emanuele Metro Station. The nearest airport is Rome Ciampino Airport, 14 km from iFlat Esquilino Industrial Studio n.1.","€ 1,251"
229,"Residenza ""Il Parco""",9.6,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 50m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site",€ 987,"Aurelio, RomeShow on map5.3 km from centre","Set in Rome, 3.1 km from Battistini Metro Station and 3.8 km from St. Peter's Basilica, Residenza ""Il Parco"" offers a terrace and air conditioning. Complimentary WiFi is offered throughout the property and private parking is available on site. The apartment features facilities for disabled guests.

The apartment with a balcony and garden views has 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and a microwave, and 1 bathroom with a walk-in shower. Towels and bed linen are available in the apartment. The property has an outdoor dining area.

A minimarket is available at the apartment.

Guests can also relax in the shared lounge area.

Vatican Museums is 3.9 km from the apartment, while Ottaviano Metro Station is 4.6 km from the property. The nearest airport is Fiumicino Airport, 24 km from Residenza ""Il Parco"".",€ 987
231,La Flavia Design City Suites Rome,8.5,"Apartment 2
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 50m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 5 left at this price on our site","€ 2,086","Via Veneto, RomeShow on map1.9 km from centre","La Flavia Design City Suites Rome provides accommodation within 1.8 km of the centre of Rome, with free WiFi, and a kitchen with a dishwasher, an oven and a microwave. The property is close to Rome Termini Metro Station, Rome Termini Train Station and Spagna Metro Station. It is possible for guests to sit outside and enjoy the property grounds.

All units in the holiday home are fitted with a coffee machine. Complete with a private bathroom equipped with a shower and a hair dryer, the units at the holiday home have a TV and air conditioning, and selected rooms are fitted with a terrace. At the holiday home, all units are equipped with a seating area.

Popular points of interest near the holiday home include Piazza Barberini, Repubblica - Teatro dell'Opera Metro Station and Barberini Metro Station. The nearest airport is Rome Ciampino Airport, 15 km from La Flavia Design City Suites Rome.","€ 2,066"
232,Casa di Malta,9.4,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 35m²
2 beds (1 extra-large double, 1 sofa bed)
Only 1 left at this price on our site",€ 870,"Trionfale, RomeShow on map3.3 km from centreMetro access","You're eligible for a Genius discount at Casa di Malta! To save at this property, all you have to do is sign in.
Offering city views, Casa di Malta is an accommodation set in Rome, 1.2 km from Ottaviano Metro Station and 2.3 km from Lepanto Metro Station. Among the facilities at this property are a lift and private check-in and check-out, along with free WiFi throughout the property. The property is non-smoking and is situated less than 1 km from Vatican Museums.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a microwave and a coffee machine, and 1 bathroom with a walk-in shower and a hair dryer. Towels and bed linen are offered in the apartment.

Castel Sant'Angelo is 2.4 km from the apartment, while St Peter's Square is 1.8 km from the property. The nearest airport is Fiumicino Airport, 27 km from Casa di Malta.",€ 870
234,limehome Rome via dei Reti,8.5,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 42m²
2 beds (1 sofa bed, 1 large double)
Only 4 left at this price on our site","€ 1,268","San Lorenzo, RomeShow on map3 km from centre","Located in Rome, 800 metres from Sapienza University of Rome, limehome Rome via dei Reti provides air-conditioned rooms with free WiFi and express check-in and check-out. It is set 1.2 km from Porta Maggiore and offers a lift. Tiburtina Metro Station is 2.3 km from the apartment and Roma Tiburtina Train Station is 2.3 km away.

The accommodation comes with a flat-screen TV and a private bathroom with a bath or shower and a hair dryer, while the kitchenette features a dishwasher, an oven and a toaster. A fridge, a stovetop and kitchenware are also provided, as well as a kettle. At the apartment complex, all units are fitted with bed linen and towels.

Popular points of interest near the apartment include Vittorio Emanuele Metro Station, Bologna Metro Station and Rome Termini Train Station. The nearest airport is Rome Ciampino Airport, 13 km from limehome Rome via dei Reti.","€ 1,081"
235,St.Peter Accomodation,8.9,"Holiday Home
Entire holiday home • 1 bedroom • 1 bathroom • 1 kitchen • 45m²
1 large double bed
Free cancellation
Only 1 left at this price on our site","€ 1,415","Vaticano Prati, RomeShow on map2.3 km from centre","You're eligible for a Genius discount at St.Peter Accomodation! To save at this property, all you have to do is sign in.
Right in the heart of Rome, situated within a short distance of St. Peter's Basilica and Castel Sant'Angelo, St.Peter Accomodation offers free WiFi, air conditioning and household amenities such as a toaster and coffee machine. This sustainable holiday home is located 700 metres from St Peter's Square and 500 metres from The Vatican. The property is non-smoking and is located 1.5 km from Vatican Museums.

The holiday home has 1 bedroom, a flat-screen TV, a fully equipped kitchen with an oven and a microwave, a washing machine, and 1 bathroom with a bidet. Towels and bed linen are available in the holiday home. For added privacy, the accommodation features a private entrance.

Piazza Navona is 1.9 km from the holiday home, while Campo de' Fiori is 2.3 km from the property. The nearest airport is Rome Ciampino, 18 km from St.Peter Accomodation, and the property offers a paid airport shuttle service.","€ 1,415"
236,Viam 16b Suites,9.4,"Deluxe Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 30m²
2 beds (1 extra-large double, 1 sofa bed)
Free cancellation
No prepayment needed – pay at the property
Only 1 left at this price on our site","€ 1,891","Spagna, RomeShow on map1.4 km from centreMetro access","Conveniently situated in the centre of Rome, Viam 16b Suites provides air-conditioned rooms with free WiFi and private parking. It is located 700 metres from Spagna Metro Station and offers luggage storage space. Flaminio Metro Station is less than 1 km from the apartment and Spanish Steps is a 8-minute walk away.

The units come with parquet floors and feature a fully equipped kitchen with a microwave, a dining area, a flat-screen TV with streaming services, and a private bathroom with bidet and slippers. The apartment complex features certain units that include a terrace, and each unit is equipped with a coffee machine. At the apartment complex, units include bed linen and towels.

Popular points of interest near the apartment include Piazza del Popolo, Villa Borghese and Trevi Fountain. The nearest airport is Rome Ciampino Airport, 18 km from Viam 16b Suites.","€ 1,891"
237,White flat Ground Floor,9.5,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 45m²
2 beds (1 single, 1 large double)
Only 1 left at this price on our site","€ 1,094","Central Station, RomeShow on map2.3 km from centre","You're eligible for a Genius discount at White flat Ground Floor! To save at this property, all you have to do is sign in.
White flat Ground Floor is located in the Central Station district of Rome, less than 1 km from Rome Termini Train Station, a 14-minute walk from Rome Termini Metro Station and less than 1 km from Vittorio Emanuele Metro Station. The property is close to Repubblica - Teatro dell'Opera Metro Station, San Giovanni Metro Station and Domus Aurea. Free WiFi is available throughout the property and Sapienza University of Rome is 600 metres away.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a microwave and a coffee machine, and 1 bathroom with an a bath or shower and a hair dryer. Towels and bed linen are provided in the apartment. This apartment is allergy-free and non-smoking.

Popular points of interest near the apartment include Santa Maria Maggiore, Porta Maggiore and Cavour Metro Station. The nearest airport is Rome Ciampino Airport, 14 km from White flat Ground Floor.","€ 1,094"
240,Quartopiano Guesthouse,9.4,"Double Room
1 large double bed
Only 1 room left at this price on our site",€ 785,"Trionfale, RomeShow on map3.1 km from centreMetro access","You're eligible for a Genius discount at Quartopiano Guesthouse! To save at this property, all you have to do is sign in.
Featuring free WiFi in all areas, Quartopiano Guesthouse is located in Rome, 400 metres from the Vatican City. It offers rooms with air conditioning.

All the rooms come with a flat-screen TV, minibar, an electric kettle, and parquet floors. The private bathroom is complete with a hairdryer and free toiletries.

Quartopiano is 180 metres from Cipro Metro stop. Castel Sant’Angelo is 1.5 km away.",€ 785
241,Twin Flowers apartment in San Giovanni,8.6,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 65m²
2 large double beds
Free cancellation
Only 1 left at this price on our site","€ 1,487","San Giovanni, RomeShow on map3.2 km from centreMetro access","Located in Rome, less than 1 km from San Giovanni Metro Station and a 16-minute walk from Ponte Lungo Metro Station, Twin Flowers apartment in San Giovanni offers air conditioning. It is situated 1.8 km from Vittorio Emanuele Metro Station and provides a lift. Free WiFi is available throughout the property and Porta Maggiore is less than 1 km away.

The spacious apartment is equipped with 2 separate bedrooms, 2 bathrooms, a fully equipped kitchen with a dining area and toaster, and a living room with a flat-screen TV. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Santa Maria Maggiore is 2.7 km from the apartment, while Sapienza University of Rome is 2.7 km away. The nearest airport is Rome Ciampino Airport, 12 km from Twin Flowers apartment in San Giovanni.","€ 1,509"
243,Casa Fornaci - Charme Holidays,8.9,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 35m²
1 extra-large double bed
Free cancellation
Only 1 left at this price on our site",€ 974,"Vaticano Prati, RomeShow on map2.2 km from centre","In the heart of Rome, set within a short distance of St. Peter's Basilica and Castel Sant'Angelo, Casa Fornaci - Charme Holidays offers free WiFi, air conditioning and household amenities such as a toaster and coffee machine. The property is around 2.2 km from Campo de' Fiori, 2.3 km from Piazza di Santa Maria in Trastevere and 2.6 km from Lepanto Metro Station. The property is non-smoking and is situated 700 metres from St Peter's Square.

The apartment features 1 bedroom, a flat-screen TV, a fully equipped kitchenette with a dishwasher and a microwave, a washing machine, and 1 bathroom with a bidet.

Popular points of interest near the apartment include The Vatican, Piazza Navona and Vatican Museums. The nearest airport is Rome Ciampino, 18 km from Casa Fornaci - Charme Holidays, and the property offers a paid airport shuttle service.",€ 963
245,7RE Vaticano,8.7,"One-Bedroom House
Entire holiday home • 1 bedroom • 1 living room • 1 bathroom • 50m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site",€ 930,"Aurelio, RomeShow on map3.9 km from centreMetro access","You're eligible for a Genius discount at 7RE Vaticano! To save at this property, all you have to do is sign in.
Ideally situated in the Aurelio district of Rome, 7RE Vaticano is a sustainable holiday home situated 2.2 km from St. Peter's Basilica and 2.2 km from Vatican Museums. The property invites guests to reconnect with nature and encourages them to make eco-friendly travel choices. Among the facilities at this property are a lift and private check-in and check-out, along with free WiFi throughout the property. The property is non-smoking and is located 2.6 km from Battistini Metro Station.

The air-conditioned holiday home consists of 1 bedroom, a living room, a fully equipped kitchenette with a dishwasher and a coffee machine, and 1 bathroom with a bidet and a hair dryer. Towels and bed linen are available in the holiday home. The property offers inner courtyard views.

A minimarket is available at the holiday home.

Ottaviano Metro Station is 2.8 km from the holiday home, while Castel Sant'Angelo is 3.4 km from the property. The nearest airport is Fiumicino, 25 km from 7RE Vaticano, and the property offers a paid airport shuttle service.",€ 930
248,Sweet Dream Penthouse,9.5,"Studio Apartment
Entire studio • 1 bathroom • 1 kitchen • 35m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site","€ 1,181",RomeShow on map2.3 km from centre,"Featuring city views, Sweet Dream Penthouse offers accommodation with a garden and a terrace, around 1.4 km from Repubblica - Teatro dell'Opera Metro Station. The property was built in 1900 and features accommodation with a balcony. The accommodation features airport transfers, while a bicycle rental service is also available.

With free WiFi, this apartment provides a flat-screen TV, a washing machine and a fully equipped kitchen with an oven and toaster. The air-conditioned unit at the property features a walk-in shower and a dressing room. This apartment is allergy-free and soundproof.

A minimarket is available at the apartment.

Popular points of interest near the apartment include Rome Termini Metro Station, Piazza Barberini and Rome Termini Train Station. The nearest airport is Rome Ciampino Airport, 16 km from Sweet Dream Penthouse.","€ 1,181"
249,iFlat Campo De Fiori Cozy Flat,7.7,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 65m²
3 beds (1 single, 1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site","€ 1,339","Navona, RomeShow on map1 km from centre","Set in the heart of Rome, 300 metres from Campo de' Fiori, iFlat Campo De Fiori Cozy Flat offers air-conditioned accommodation with free WiFi and a flat-screen TV. The property is located 1.2 km from Piazza Venezia, 1.4 km from Castel Sant'Angelo and less than 1 km from Synagogue of Rome. The property is non-smoking and is situated less than 1 km from Largo di Torre Argentina.

The spacious apartment is composed of 2 bedrooms, a living room, a fully equipped kitchenette, and 2 bathrooms.

Popular points of interest near the apartment include Pantheon, Piazza Navona and Palazzo Venezia. The nearest airport is Rome Ciampino Airport, 16 km from iFlat Campo De Fiori Cozy Flat.","€ 1,322"
250,iFlat Veneto Area's Penthouse,8.8,"Two-Bedroom Apartment
3 beds (1 sofa bed, 2 large doubles)
Free cancellation
Only 1 left at this price on our site","€ 2,230","Via Veneto, RomeShow on map1.8 km from centre","Situated right in the centre of Rome, less than 1 km from Piazza Barberini, iFlat Veneto Area's Penthouse features air-conditioned accommodation with free WiFi and a flat-screen TV. The property is close to several well-known attractions, 1.1 km from Rome Termini Train Station, 1.5 km from Spagna Metro Station and 1.3 km from Quirinal Hill. The property is close to popular attractions like Santa Maria Maggiore, Villa Borghese and Spanish Steps.

The apartment is composed of 2 bedrooms, a fully equipped kitchen, and 2 bathrooms. The accommodation is non-smoking.

Popular points of interest near the apartment include Repubblica - Teatro dell'Opera Metro Station, Barberini Metro Station and Rome Termini Metro Station. The nearest airport is Rome Ciampino Airport, 15 km from iFlat Veneto Area's Penthouse.","€ 2,227"
251,Collection Spanish Steps Apartments - Top Collection,9.0,"Studio with Terrace
Entire studio • 1 bathroom • 35m²
1 large double bed
Free cancellation
Only 1 left at this price on our site","€ 1,394","Spagna, RomeShow on map1.4 km from centre","You're eligible for a Genius discount at Collection Spanish Steps Apartments - Top Collection! To save at this property, all you have to do is sign in.
Collection Spanish Steps Apartments - Top Collection offers self-catering accommodation located in Rome's Spagna quarter. Free WiFi access is available.

The apartment will provide you with a flat-screen TV, air conditioning and a balcony. There is a kitchenette with a refrigerator. The private bathroom comes with a bath and a hairdryer.

Via del Corso is 20 metres from the property. The Spanish Steps are a 7-minute walk away.","€ 1,367"
252,Collection Spanish Steps Apartments - Top Collection,9.0,"Studio with Terrace
Entire studio • 1 bathroom • 35m²
1 large double bed
Free cancellation
Only 1 left at this price on our site","€ 1,394","Spagna, RomeShow on map1.4 km from centre","You're eligible for a Genius discount at Collection Spanish Steps Apartments - Top Collection! To save at this property, all you have to do is sign in.
Collection Spanish Steps Apartments - Top Collection offers self-catering accommodation located in Rome's Spagna quarter. Free WiFi access is available.

The apartment will provide you with a flat-screen TV, air conditioning and a balcony. There is a kitchenette with a refrigerator. The private bathroom comes with a bath and a hairdryer.

Via del Corso is 20 metres from the property. The Spanish Steps are a 7-minute walk away.","€ 1,367"
260,Il Nido di Elvira (Marconi-Trastevere),,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 80m²
2 beds (1 sofa bed, 1 large double)",€ 742,"Portuense, RomeShow on map3.6 km from centre","Set in Rome, the recently renovated Il Nido di Elvira (Marconi-Trastevere) offers accommodation 700 metres from Roma Trastevere Train Station and 2.1 km from Basilica San Paolo Metro Station. The air-conditioned accommodation is 3.8 km from Roman Forum. The property is non-smoking and is situated 3.8 km from Campo de' Fiori.

The spacious apartment with a balcony and city views features 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with an oven and a microwave, and 1 bathroom with a bidet. Towels and bed linen are featured in the apartment. For added privacy, the accommodation features a private entrance.

Piazza di Santa Maria in Trastevere is 4.3 km from the apartment, while Coliseum is 4.6 km away. The nearest airport is Fiumicino Airport, 20 km from Il Nido di Elvira (Marconi-Trastevere).",€ 712
263,Mecenate Apartment Colosseum,9.0,"Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 50m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site","€ 1,564","Rione Monti, RomeShow on map1.8 km from centreMetro access","Offering city views, Mecenate Apartment Colosseum is an accommodation located in Rome, 1 km from Santa Maria Maggiore and 1.3 km from Cavour Metro Station. Among the facilities at this property are a lift and private check-in and check-out, along with free WiFi throughout the property. The property is non-smoking and is set less than 1 km from Vittorio Emanuele Metro Station.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a dishwasher and a kettle, and 1 bathroom with a bidet and a hair dryer. Towels and bed linen are offered in the apartment. For added privacy, the accommodation features a private entrance.

Popular points of interest near the apartment include Porta Maggiore, Colosseo Metro Station and San Giovanni Metro Station. The nearest airport is Rome Ciampino, 13 km from Mecenate Apartment Colosseum, and the property offers a paid airport shuttle service.","€ 1,564"
266,Delizioso appartamento all'Aurelio,9.0,"Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 55m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site",€ 912,"Aurelio, RomeShow on map4.2 km from centreMetro access","Set in Rome, 2.1 km from Battistini Metro Station and 2.6 km from Vatican Museums, Delizioso appartamento all'Aurelio offers a shared lounge and air conditioning. Among the facilities at this property are a lift and private check-in and check-out, along with free WiFi throughout the property. Outdoor dining is also possible at the apartment.

The apartment with a balcony and quiet street views has 1 bedroom, a living room, a flat-screen TV, an equipped kitchenette with a dishwasher and an oven, and 1 bathroom with a bidet. A private entrance leads guests into the apartment, where they can enjoy some fruits and chocolates or cookies. This apartment is non-smoking and soundproof.

For guests with children, Delizioso appartamento all'Aurelio offers a baby safety gate.

St. Peter's Basilica is 2.7 km from the accommodation, while Ottaviano Metro Station is 2.8 km from the property. The nearest airport is Fiumicino Airport, 25 km from Delizioso appartamento all'Aurelio.",€ 912
267,The shelter,8.6,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 45m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site",€ 763,"Appio Latino, RomeShow on map4.3 km from centreMetro access","Offering a garden and garden view, The shelter is set in Rome, 2.2 km from San Giovanni Metro Station and 2.8 km from Porta Maggiore. The property is around 3.5 km from Vittorio Emanuele Metro Station, 4.2 km from Santa Maria Maggiore and 4.5 km from Coliseum. Free WiFi is available throughout the property and Ponte Lungo Metro Station is less than 1 km away.

The recently renovated apartment has 1 separate bedroom, 1 bathroom, a fully equipped kitchenette with a dining area and oven, and a living room with a flat-screen TV. Towels and bed linen are offered in the apartment. The property has an outdoor dining area.

Sapienza University of Rome is 4.6 km from the apartment, while Domus Aurea is 4.6 km from the property. The nearest airport is Rome Ciampino Airport, 10 km from The shelter.",€ 763
